Type,Time,Size
media,1710065363703,734
media,1710065363704,739
fec,1710065363704,735
media,1710065363705,727
media,1710065363705,2183
media,1710065363705,735
media,1710065363706,1443
fec,1710065363707,727
media,1710065363707,2183
media,1710065363707,739
media,1710065363708,730
media,1710065363708,2186
fec,1710065363709,2183
media,1710065363709,731
media,1710065363709,730
media,1710065363710,2181
media,1710065363710,737
fec,1710065363711,731
media,1710065363711,730
media,1710065363712,2187
media,1710065363712,738
media,1710065363713,730
fec,1710065363713,730
media,1710065363714,2178
media,1710065363714,735
media,1710065363714,1442
media,1710065363715,2183
fec,1710065363715,2178
media,1710065363716,738
media,1710065363716,735
media,1710065363716,2184
fec,1710065363717,738
media,1710065363718,724
media,1710065363718,2184
media,1710065363719,733
media,1710065363719,731
fec,1710065363720,724
media,1710065363720,2182
media,1710065363720,739
media,1710065363721,732
media,1710065363721,2186
fec,1710065363722,2182
media,1710065363722,732
media,1710065363722,1445
media,1710065363723,2182
media,1710065363723,736
media,1710065363724,732
media,1710065363725,2186
media,1710065363725,736
media,1710065363725,734
fec,1710065363726,732
media,1710065363726,2177
media,1710065363727,737
media,1710065363727,729
media,1710065363727,2184
fec,1710065363728,2177
media,1710065363728,736
media,1710065363729,734
media,1710065363729,2185
media,1710065363729,739
fec,1710065363730,736
media,1710065363730,1438
media,1710065363730,2182
media,1710065363731,734
media,1710065363731,728
fec,1710065363732,1438
media,1710065363732,2185
media,1710065363733,731
fec,1710065363734,2185
media,1710065363734,731
media,1710065363735,730
media,1710065363735,2181
fec,1710065363736,731
media,1710065363737,2186
media,1710065363737,737
media,1710065363737,1447
fec,1710065363738,729
media,1710065363739,2179
media,1710065363739,736
media,1710065363739,729
media,1710065363740,2183
media,1710065363741,735
media,1710065363741,2183
fec,1710065363742,738
media,1710065363742,724
media,1710065363743,2183
media,1710065363743,734
media,1710065363744,732
fec,1710065363744,724
media,1710065363745,2183
media,1710065363746,1447
media,1710065363746,2186
fec,1710065363747,2183
media,1710065363747,728
media,1710065363748,2181
media,1710065363748,735
fec,1710065363749,732
media,1710065363749,732
media,1710065363749,2187
media,1710065363750,737
media,1710065363750,734
fec,1710065363751,732
media,1710065363751,2178
media,1710065363752,729
media,1710065363752,2184
fec,1710065363753,2178
media,1710065363754,2184
media,1710065363754,738
fec,1710065363755,735
media,1710065363755,726
media,1710065363756,2183
media,1710065363756,735
media,1710065363756,730
fec,1710065363757,726
media,1710065363757,2185
media,1710065363757,740
media,1710065363758,728
media,1710065363758,2186
fec,1710065363759,2185
media,1710065363759,730
media,1710065363760,730
media,1710065363760,2180
media,1710065363760,737
fec,1710065363761,730
media,1710065363762,2187
media,1710065363762,738
media,1710065363763,734
fec,1710065363763,1444
media,1710065363763,2179
media,1710065363764,734
media,1710065363764,728
media,1710065363765,2182
fec,1710065363765,2179
media,1710065363765,737
media,1710065363766,734
media,1710065363766,2184
media,1710065363766,740
fec,1710065363767,737
media,1710065363767,726
media,1710065363768,2184
media,1710065363768,734
media,1710065363769,1445
fec,1710065363769,726
media,1710065363769,2181
media,1710065363770,739
media,1710065363770,732
fec,1710065363771,2181
media,1710065363771,731
media,1710065363772,730
media,1710065363772,736
fec,1710065363773,731
media,1710065363773,733
media,1710065363774,2187
media,1710065363774,737
media,1710065363774,732
fec,1710065363775,733
media,1710065363776,2177
media,1710065363776,736
media,1710065363777,1442
media,1710065363777,2183
fec,1710065363778,2177
media,1710065363778,736
media,1710065363778,735
media,1710065363779,2185
media,1710065363779,739
fec,1710065363780,736
media,1710065363780,726
media,1710065363781,2183
media,1710065363781,733
fec,1710065363782,726
media,1710065363782,2184
media,1710065363783,739
media,1710065363783,731
media,1710065363783,2187
fec,1710065363784,2184
media,1710065363784,731
media,1710065363784,1447
media,1710065363785,2181
media,1710065363785,737
media,1710065363786,732
media,1710065363786,2185
media,1710065363787,737
media,1710065363787,732
fec,1710065363788,732
media,1710065363788,2178
media,1710065363788,736
media,1710065363789,731
media,1710065363789,2183
fec,1710065363790,2178
media,1710065363790,738
media,1710065363791,735
media,1710065363791,2184
media,1710065363792,740
media,1710065363792,1440
media,1710065363793,2183
media,1710065363794,733
media,1710065363794,731
fec,1710065363794,1440
media,1710065363795,2183
media,1710065363795,734
media,1710065363796,2186
fec,1710065363797,2183
media,1710065363797,732
media,1710065363798,2182
media,1710065363798,735
fec,1710065363799,732
media,1710065363799,731
media,1710065363799,2186
media,1710065363800,736
media,1710065363800,1449
fec,1710065363801,731
media,1710065363801,2178
media,1710065363801,737
media,1710065363802,728
media,1710065363802,2184
fec,1710065363803,2178
media,1710065363803,736
media,1710065363804,735
media,1710065363804,2184
media,1710065363804,738
fec,1710065363805,736
media,1710065363805,726
media,1710065363806,2182
media,1710065363806,735
media,1710065363807,732
fec,1710065363807,726
media,1710065363808,2185
media,1710065363808,740
media,1710065363809,1447
fec,1710065363810,2185
media,1710065363810,731
media,1710065363810,731
media,1710065363811,2180
media,1710065363811,736
fec,1710065363812,731
media,1710065363812,731
media,1710065363812,2187
media,1710065363813,738
media,1710065363813,734
fec,1710065363813,731
media,1710065363814,2179
media,1710065363814,736
media,1710065363815,731
media,1710065363815,2183
fec,1710065363816,2179
media,1710065363816,737
media,1710065363817,2183
media,1710065363817,739
fec,1710065363818,737
media,1710065363818,725
media,1710065363818,2184
media,1710065363819,4944
media,1710065363819,3438
fec,1710065363820,725
media,1710065363820,1364
media,1710065363821,2185
media,1710065363821,734
media,1710065363822,732
fec,1710065363822,1364
media,1710065363823,2184
media,1710065363823,1444
media,1710065363824,738
media,1710065363824,2185
fec,1710065363825,2184
media,1710065363825,736
media,1710065363826,738
media,1710065363826,2188
media,1710065363827,726
media,1710065363827,737
media,1710065363828,2180
media,1710065363828,731
media,1710065363828,739
fec,1710065363829,737
media,1710065363830,2187
media,1710065363831,740
media,1710065363831,2180
media,1710065363832,1446
media,1710065363832,734
media,1710065363832,2184
media,1710065363833,733
fec,1710065363833,1446
media,1710065363833,740
media,1710065363834,2184
media,1710065363834,736
media,1710065363835,732
fec,1710065363835,740
media,1710065363835,2185
media,1710065363836,730
media,1710065363836,738
media,1710065363837,2186
fec,1710065363837,2185
media,1710065363838,734
media,1710065363838,738
media,1710065363838,2186
media,1710065363839,1441
fec,1710065363839,734
media,1710065363840,736
media,1710065363840,2183
media,1710065363840,734
media,1710065363841,738
fec,1710065363841,736
media,1710065363842,2188
media,1710065363842,733
media,1710065363843,2177
fec,1710065363844,2188
media,1710065363845,2184
media,1710065363845,733
fec,1710065363845,732
media,1710065363846,740
media,1710065363846,2186
media,1710065363847,1447
fec,1710065363847,740
media,1710065363848,2184
media,1710065363848,731
media,1710065363848,736
media,1710065363850,734
media,1710065363850,737
media,1710065363850,2187
media,1710065363851,727
fec,1710065363851,734
media,1710065363852,738
media,1710065363852,2181
media,1710065363852,733
media,1710065363853,739
fec,1710065363854,738
media,1710065363854,2187
media,1710065363854,1447
media,1710065363855,739
media,1710065363855,2179
fec,1710065363856,2187
media,1710065363856,732
media,1710065363857,736
media,1710065363857,2185
media,1710065363858,733
fec,1710065363858,732
media,1710065363858,741
media,1710065363859,2185
media,1710065363859,737
media,1710065363860,732
fec,1710065363861,741
media,1710065363861,2183
