Time,Packet loss,Packet loss Random,Packet loss with recovery,FEC Interval,Recovery Rate,Bandwidth,Bandwidth Media,Sending Rate,Video bitrate,Bandwidth Link
1714299053978,0.023529411764705882,0.01,0,11,1.6666666666666667,1578726,1394067,3375,3068.181818181818,2500000
1714299054980,0.0297029702970297,0.01,0.009900990099009901,10,1.2857142857142858,1894076.8463073852,1678535.9281437125,3543.75,3189.375,2500000
1714299055979,0.014285714285714285,0.01,0,12,1.4444444444444444,2004615,1778365,3720.9375,3410.859375,2500000
1714299056981,0.004739336492890996,0.01,0,13,1.5,2079190.8091908095,1863577.4225774228,3906.984375,3606.4471153846152,2500000
1714299057979,0.004651162790697674,0.01,0,13,1.4545454545454546,2115850,1932837,4102.333593750001,3786.7694711538466,2500000
1714299058984,0.022321428571428572,0.01,0.008928571428571428,11,1.2666666666666666,2172252.736318408,1979217.9104477614,4307.450273437501,3915.8638849431827,2500000
1714299059987,0.012396694214876033,0.01,0,13,1.3529411764705883,2373124.750499002,2126306.3872255487,4522.822787109376,4174.913341947116,2500000
1714299060997,0.012295081967213115,0.05,0.00819672131147541,13,1,2367483.168316832,2153902.9702970297,4748.963926464845,4383.659009044472,2000000
1714299061999,0.11013215859030837,0.05,0.09691629955947137,2,0.32926829268292684,2000298.4031936128,1849269.4610778443,4748.963926464845,2374.4819632324225,2000000
1714299063004,0.47780678851174935,0.05,0.46475195822454307,2,0.15384615384615385,2000760.1990049754,1356701.4925373136,3645.4187842837196,1822.7093921418598,2000000
1714299064011,0.0787037037037037,0.05,0.05555555555555555,5,0.1284722222222222,1987787.487586892,1291601.787487587,3645.4187842837196,2916.3350274269756,2000000
1714299065013,0.3013698630136986,0.05,0.2602739726027397,2,0.1590909090909091,1999932.2033898307,1531150.5483549354,3171.014969890633,1585.5074849453165,2000000
1714299066024,0.1031390134529148,0.05,0.07174887892376682,2,0.16045845272206305,1978340.257171118,1292833.8278931752,3171.014969890633,1585.5074849453165,2000000
1714299067028,0.17813765182186234,0.05,0.14979757085020243,2,0.16449086161879894,2001623.1306081756,1303324.0279162514,2933.509800081011,1466.7549000405054,2000000
1714299068027,0.19047619047619047,0.05,0.1865079365079365,2,0.15841584158415842,2009916,1358238,2659.9483703115516,1329.9741851557758,2000000
1714299069029,0.11688311688311688,0.05,0.06060606060606061,2,0.1828978622327791,2003189,1223916,2659.9483703115516,1329.9741851557758,2000000
1714299070032,0.09900990099009901,0.05,0.039603960396039604,2,0.20601851851851852,1802194.2231075696,1142861.5537848605,2659.9483703115516,1329.9741851557758,2000000
1714299071032,0.0871559633027523,0.05,0.045871559633027525,4,0.22072072072072071,1951246.7532467535,1257574.4255744256,2659.9483703115516,1994.9612777336638,2000000
1714299072048,0.07027027027027027,0.05,0.02702702702702703,6,0.23348017621145375,1618378.325123153,1195394.0886699508,2659.9483703115516,2216.623641926293,2000000
1714299073057,0.04938271604938271,0.05,0.024691358024691357,8,0.23965141612200436,1483742.3191278495,1195271.5559960357,2659.9483703115516,2327.4548240226077,2000000
1714299074058,0.05806451612903226,0.05,0.025806451612903226,7,0.2462526766595289,1401009.99000999,1195629.3706293707,2659.9483703115516,2279.95574598133,2000000
1714299075058,0.056962025316455694,0.05,0.012658227848101266,7,0.25684210526315787,1419650,1192591,2792.9457888271295,2393.9535332803966,2000000
1714299076060,0.040697674418604654,0.05,0.01744186046511628,9,0.26195426195426197,1586867.3978065804,1350892.3230309074,2932.593078268486,2606.749402905321,2000000
1714299077060,0.07262569832402235,0.05,0.03910614525139665,5,0.26774847870182555,1599804,1383636,2932.593078268486,2346.074462614789,2000000
1714299078066,0.06896551724137931,0.05,0.05172413793103448,6,0.268389662027833,1557568.023833168,1291307.8450844092,2932.593078268486,2443.827565223738,2000000
1714299079066,0.07936507936507936,0.05,0.05291005291005291,4,0.2723735408560311,1689647,1388010,2932.593078268486,2199.4448087013643,2000000
1714299080066,0.09424083769633508,0.05,0.05759162303664921,3,0.2784090909090909,1737439,1339142,2932.593078268486,1955.0620521789906,2000000
1714299081073,0.06896551724137931,0.01,0.029556650246305417,6,0.2891791044776119,1827601.1904761905,1337884.9206349207,2932.593078268486,2443.827565223738,2500000
1714299082087,0.044444444444444446,0.01,0.016666666666666666,9,0.2957486136783734,1654925.0493096646,1336404.339250493,3079.2227321819105,2737.086873050587,2500000
1714299083088,0.015544041450777202,0.01,0.0051813471502590676,12,0.2983425414364641,1850289.7102897104,1591402.5974025975,3233.1838687910063,2963.751879725089,2500000
1714299084093,0.020618556701030927,0.01,0.010309278350515464,12,0.30091743119266057,1829813.930348259,1647370.1492537316,3394.843062230557,3111.939473711344,2500000
1714299085098,0.0196078431372549,0.01,0.00980392156862745,12,0.3029197080291971,1935072.6368159207,1730999.0049751245,3564.5852153420847,3267.536447396911,2500000
1714299086097,0.019417475728155338,0.01,0.009708737864077669,12,0.30601092896174864,1977168,1804700,3742.814476109189,3430.9132697667565,2500000
1714299087100,0.02666666666666667,0.01,0.008888888888888889,11,0.31103074141048825,2160802.3952095807,1933748.502994012,3929.9551999146483,3572.6865453769533,2500000
1714299088102,0.018018018018018018,0.01,0,12,0.31654676258992803,2164349.9501495515,1916774.675972084,4126.452959910381,3782.581879917849,2500000
1714299089108,0.012345679012345678,0.01,0.00823045267489712,13,0.3177737881508079,2381423.8805970154,2167227.860696518,4332.7756079059,3999.485176528523,2500000
